brand,model,materiale,calibro,rigidita,colore,prezzo,image_url,note
Alien,Black Diamond 16,monofilamento,,,,,,
Alpha,Gut 2000 16,multifilamento,,,,,,
Ashaway,Dynamite 17,multifilamento avanzato,,,,,,
Ashaway,Dynamite Soft 17,multifilamento avanzato,,,,,,
Ashaway,Dynamite Soft 18,multifilamento avanzato,,,,,,
Ashaway,Dynamite WB 16,multifilamento avanzato,,,,,,
Ashaway,Liberty 16,multifilamento,,,,,,
Ashaway,MonoGut 16L,monofilamento,,,,,,
Ashaway,MonoGut 17,monofilamento,,,,,,
Ashaway,MonoGut ZX 16,multifilamento avanzato,,,,,,
Ashaway,Synthetic Gut 16,multifilamento,,,,,,
Babolat,Addiction 16,multifilamento,,,,,,
Babolat,Addiction 17,multifilamento,,,,,,
Babolat,Attraction 16,multifilamento avanzato,,,,,,
Babolat,Ballistic Polymono 16,monofilamento,,,,,,
Babolat,Conquest 16,multifilamento,,,,,,
Babolat,Duralast 16,monofilamento,,,,,,
Babolat,Duralast 17,monofilamento,,,,,,
Babolat,FiberTour 16,multifilamento,,,,,,
Babolat,Hurricane Feel 16,monofilamento,,,,,,
Babolat,Hurricane Feel 17,monofilamento,,,,,,
Babolat,M7 16 (1.30),m ultifilamento,,,,,,
Babolat,Origin 16 (1.30),multifilamento,,,,,,
Babolat,Origin 17,multifilamento,,,,,,
Babolat,Pro Hurricane 16,monofilamento,,,,,,
Babolat,Pro Hurricane 17,monofilamento,,,,,,
Babolat,Pro Hurricane 18,monofilamento,,,,,,
Babolat,Pro Hurricane Tour 16,monofilamento,,,,,,
Babolat,Pro Hurricane Tour 17,monofilamento,,,,,,
Babolat,Revenge 16,monofilamento,,,,,,
Babolat,Revenge 17,monofilamento,,,,,,
Babolat,RPM Blast 15L (1.35),monofilamento,,,,,,
Babolat,RPM Blast 16,monofilamento,,,,,,
Babolat,RPM Blast 17/1.25,monofilamento,,,,,,
Babolat,RPM Blast 18 (1.20),monofilamento,,,,,,
Babolat,RPM Blast Orange 16 (1.30),monofilamento,,,,,,
Babolat,RPM Blast Rough 15L,monofilamento,,,,,,
Babolat,RPM Blast Rough 16,monofilamento,,,,,,
Babolat,RPM Blast Rough 17,monofilamento,,,,,,
Babolat,RPM Dual 16,monofilamento,,,,,,
Babolat,RPM Soft 16 (1.30),multifilamento,,,,,,
Babolat,RPM Team 16 Black,monofilamento,,,,,,
Babolat,RPM Team 17 (1.25),multifilamento avanzato,,,,,,
Babolat,SG SpiralTek 16,multifilamento,,,,,,
Babolat,SpiralTek 17,multifilamento,,,,,,
Babolat,Super Fine Play 16,multifilamento,,,,,,
Babolat,Synthetic Gut 16 (1.30),multifilamento,,,,,,
Babolat,Synthetic Gut 17 (1.25),multifilamento,,,,,,
Babolat,Tonic + Natural Gut 16,budello naturale,,,,,,
Babolat,VS Natural Team Gut 17 (1.25),budello naturale,,,,,,
Babolat,VS Natural ThermoGut 16 Touch,budello naturale,,,,,,
Babolat,VS Touch 15L (1.35),budello naturale,,,,,,
Babolat,Xalt 16 (1.30),multifilamento,,,,,,
Babolat,Xcel 16,multifilamento,,,,,,
Babolat,Xcel French Open Black 16,multifilamento,,,,,,
Babolat,Xcel Power 16,multifilamento,,,,,,
Babolat,Xcel Power 17,multifilamento,,,,,,
Babolat,Xcel Premium 17,multifilamento,,,,,,
Boris Becker,Bomber 16,monofilamento,,,,,,
Boris Becker,Bomber 17,monofilamento,,,,,,
Boris Becker,Bomber NYC 16 (1.28),monofilamento,,,,,,
Boris Becker,Bomber NYC 17 (1.23),monofilamento,,,,,,
Boris Becker,Pulse 16 (1.32),multifilamento,,,,,,
Diadem,Elite XT 16,monofilamento,,,,,,
Diadem,Elite XT 17,monofilamento,,,,,,
Diadem,Impulse 16 (1.32),multifilamento,,,,,,
Diadem,Impulse 17 (1.25),multifilamento,,,,,,
Diadem,Solstice Blace 17 (1.20),monofilamento,,,,,,
Diadem,Solstice Power 15L (1.35),monofilamento,,,,,,
Diadem,Solstice Power 16 (1.30),monofilamento,,,,,,
Diadem,Solstice Power 16L (1.25),monofilamento,,,,,,
Diadem,Solstice Power 17 (1.20),monofilamento,,,,,,
Diadem,Solstice Pro 15L (1.35),monofilamento,,,,,,
Diadem,Solstice Pro 16L (1.25),monofilamento,,,,,,
Diadem,Solstice Pro 16L (1.25),monofilamento,,,,,,
Double AR,666 (1.30),multifilamento,,,,,,
Double AR,Diablo (1.24),monofilamento,,,,,,
Double AR,Diablo (1.31),monofilamento,,,,,,
Double AR,Raptor 1.27,monofilamento,,,,,,
